,Short description,Description,Caller,Assignment group,Cat_Short_Description,Cat_Description,Final Category,Description_len,Short_Dec_len,Des_wrd_cnt,Short_Des_wrd_cnt
6222,job hostname fail failed job scheduler,received job hostname fail failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,47,38,7,6
6223,pls install outlook trainee yqwuhzkv icvgkxnt,pls install outlook trainee yqwuhzkv icvgkxnt pls assign qbnsrzlv gyqxkbae,vwpxjtof vmidzswj,GRP_33,English,English,English,74,45,10,6
6224,job hostname fail failed job scheduler,received job hostname fail failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,47,38,7,6
6225,window activation message,received hello team supposed issue,tzradpnj izlotycb,GRP_0,English,English,English,34,25,5,3
6227,vvdortddp,received please reset password pradtheyp share new password manager navbrtheen gogtr emp name useid manager yaxmwdth xsfgitmq vvdortddp navbrtheen gogtr,badnzyue nxuqmdwl,GRP_0,English,English,English,152,9,20,1
6228,acces network ewewx departement,acces network departement tha access urgent necessary hardness measuring software yevirgnl ylhogjct ughzilfm cfibdamq responsible person,lpfzasmv cleoprzq,GRP_24,English,English,English,136,31,16,4
6229,hostname transition application portal java web training full access guprgttas,hostname transition application portal java web training full access guprgttas,ungoxpdc hmxwuyog,GRP_12,English,English,English,78,78,10,10
6230,manually constructed new number want extend material maste,manually constructed new number want extend rqfhiong zkwfqagb system find iso ansi code use code manually night rage come message ansi catalog grade already used material please check attachment,rugphfdi trlshejc,GRP_29,English,English,English,194,58,29,8
6232,stamping timing tool working,pulvermetalogy staeberoth fertigung hartbearbeitung user cannot stamp time tool data transferred erp yesterday know employee present yesterday absent,mstnjfai xcobykhl,GRP_25,English,English,English,149,28,18,4
6233,issue erp sid,issue erp sid page loading,djpwfxzt cfkwxlmq,GRP_0,English,English,English,26,13,5,3
6234,outlook email access felix zhang mobile device activation personal device,received please usa outlook access email calendar staff iphone dept,kbclinop vsczklfp,GRP_0,English,English,English,67,73,10,10
6235,error ddeihrsh sigrtyhdeo laptop,received dibesh laptop cannot boot need resolve issue,kbclinop vsczklfp,GRP_19,English,English,English,53,32,8,4
6236,material issue,received dear team shipped subcontract order jul rough material pc movement type corresponding end product still exists erp pls help check root thx cid image png sid cid image png ffa rgds judthtihty zhuyhts company hardpoint apac wgq,wktesmbp lorjymef,GRP_29,English,English,English,234,14,38,2
6237,tablet dell,please provide detail issue,rbkvofgu jthclzow,GRP_31,English,English,English,27,11,4,2
6238,post due batch issue,received dear team pls help check return delivery required enter batch key anything blank cid image png ffa cid image png ffa rgds judthtihty zhuyhts company hardpoint apac wgq,wktesmbp lorjymef,GRP_18,English,English,English,176,20,29,4
6239,laptop access network,laptop access network,zjwecphr swhkzyfq,GRP_31,English,English,English,21,21,3,3
6240,vpn login issue account lock,vpn login issue account lock,vfoyenlw ntpbdeyf,GRP_0,English,English,English,28,28,5,5
6241,mobile device activation company provided,mobile device activation company provided,ckwfvyda saunmgqt,GRP_0,English,English,English,41,41,5,5
6242,sql error sid erp system,dump sql error,vradzimk xvmcoskl,GRP_14,English,English,English,14,24,3,5
6243,cartridge,printer cartridge replacement printer,ipqgrnxk acxedqjm,GRP_19,English,English,English,37,9,4,1
6244,launching,launching tried opening safe mode reset tried disabling window feature failed disable reboot system worked fine,spxqmiry zpwgoqju,GRP_0,English,English,English,111,9,16,1
6245,account lock password reset password management tool password manager,account lock password reset password management tool password manager,hotwlygp afukzhnm,GRP_0,English,English,English,69,69,9,9
6246,delete history cache seocompanyxv syxewkji es uacyltoe hxgayczeing,delete history cache seocompanyxv syxewkji es uacyltoe hxgayczeing,sholvcmf bjtpomrl,GRP_19,English,English,English,66,66,8,8
6248,account locked,account locked summary locked computer,isbczxtu gvxureqa,GRP_0,English,English,English,38,14,5,2
6249,skype issue unable make receive call skype,unable make receive call skype time warehouse tool thru hehr toolhones audible heard thru speake,aiprzulo lzvmgqwy,GRP_0,English,English,English,96,42,15,7
6251,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
6252,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
6254,job failed datasource attribute please check attachment,job failed datasource attribute please check attachment,cubdsrml znewqgop,GRP_20,English,English,English,55,55,7,7
6255,account lock issue,account lock issue,hzetqwba tmsbnfkh,GRP_0,English,English,English,18,18,3,3
6256,general query rdp,user wanted report one working system without awareness checked change happened computer erp went back default setting checked programdntys feature erp patch installed time appreciated user asked inform see activity,rxyopuha svfqmncl,GRP_0,English,English,English,215,17,30,3
6257,could setup notification list dvw system warning os,user name yinnrty user system dvw contact phone error message os integrity constraint gdwowner sbscrptn tblusers violated parent key found production specification application server lhqsid database server name oracle gdwp,cysbkonu mzutvwir,GRP_25,English,English,English,222,51,30,8
6258,account lock issue,account lock issue remote user computer removed old password cleared temp prefetch file signed outlook checked skype ran lock status informed user update password mobile device,ihlguasz agnwcqiz,GRP_0,English,English,English,176,18,26,3
6259,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
6260,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
6262,unable print erp,unable print erp,bkyphsgq cfyksehu,GRP_0,English,English,English,16,16,3,3
6263,circuit outage india telecom vendor mbps circuit site telecom vendor circuit,type outage network circuit power please specify type outage top cert site yes yes start scheduled maintenance power yes company maint yes provider maint ticket scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,rkupnshb gsmzfojw,GRP_8,English,English,English,535,76,81,11
6264,job tool netch failed job scheduler,received job tool netch failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,44,35,7,6
6265,job tool netch failed job scheduler,received job tool netch failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,44,35,7,6
6266,network outage usa warehouse vpn circuit site primary,type outage network circuit power please specify type outage top cert site yes yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,rkupnshb gsmzfojw,GRP_4,English,English,English,524,53,79,8
6267,unable connect printer also need help connect scanner,unable connect printer also need help scanner tried download driver fujitsu website tried run need administrator access,eocvkuxw eqfsphnd,GRP_3,English,English,English,119,53,17,8
6268,latpop startup without power cord connected suspect bad battery,latpop startup without power cord connected suspect bad battery,kaguhxwo uoyipxqg,GRP_3,English,English,English,63,63,9,9
6269,circuit outage usa vpn circuit circuit primary,type outage network circuit power please specify type outage top cert site slo site yes start scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes yes site contact notified phone email yes remote dial yes equipment reset yes verified site working backup circuit yes yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes cert started yes additional diagnostics,rkupnshb gsmzfojw,GRP_8,English,English,English,529,46,80,7
6270,unable log erp sid,unable log erp sid,jfgepoay qsbjaemc,GRP_0,English,English,English,18,18,4,4
6271,unable log erp sid,unable log erp sid,ebxrlknc txnvwupy,GRP_0,English,English,English,18,18,4,4
6272,intermittent internet connection,intermittent internet connection,qscdktvl rihendxu,GRP_0,English,English,English,32,32,3,3
6273,delivery note user coming printer,delivery note user coming printer,rtpmlwnk unpambrv,GRP_18,English,English,English,33,33,5,5
6274,system slow start,system slow start,yhzdtkla ncobgtdm,GRP_0,English,English,English,17,17,3,3
6275,check router wifi site south amerirtca bernardo campo mercedes benz,team please check router wifi site company south amerirtca pollaurido bernardo campo possible connect network wifi companysecure network visible user local need connect remotely doubt please return,qasdhyzm yuglsrwx,GRP_4,English,English,English,197,67,27,10
6276,usa print,usa print issue,rdfjsawg zpmxgdcw,GRP_15,English,English,English,15,9,3,2
6277,sign working,name mikhghytr karaffa language browser microsoft internet explorer customer number telephone summary hello single sign working,vfrdxtqw jfbmsenz,GRP_0,English,English,English,127,12,16,2
6278,probleme urgent,received hallo folgende funktionen und programdntyme laufen nicht mehr weekly report sich nicht bertragen meldet falscher serverpfad collaboration platform findet die biblotheken nicht mehr keine synchronisation mit collaboration platform mehr lte verbindung nicht glich mit freundlichen eluvxqhw gpbfkqeu anwendungstechnik application engineer transportation central europe mail company deutschland gmbh www company com gesch ftsf hrer rfwlsoej yvtjzkaw phvkowml azbtkqwx naruedlk mpvhakdq diese mitteilung ist einzig und allein die nutzung durch den adressaten bestimmt und kann informationen enthalten die schutzw rdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind die verbreitung verteilung oder vervielf ltigung dieser mitteilung durch personen bei denen sich nicht die beabsichtigten empf nger handelt ist streng verboten wenn diese mitteilung aufgrund eines versehens bei ihnen eingegangen ist dann benachrichtigen sie bitte den absender und schen sie diese mitteilung company post select following link view disclaimer alternate language,eluvxqhw gpbfkqeu,GRP_0,English,English,English,1074,15,141,2
6279,unable load engineering tool,unable load engineering tool,yhzdtkla ncobgtdm,GRP_0,English,English,English,28,28,4,4
6280,infopath installation,infopath installation,lxmpfiez katjygbp,GRP_0,English,English,English,21,21,2,2
6281,half icon desktop gone reboot update applied,half icon desktop gone reboot update applied,hitakmbs fvhmkntq,GRP_3,English,English,English,44,44,7,7
6282,unable get skype audio meeting outside vendor,unable get skype audio meeting outside vendor,ejvkzobl yijgokrn,GRP_0,English,English,English,45,45,7,7
6283,usa operator locked mii able scan production capture value add,usa operator locked mii able scan production tortm hortl howthrelte happened twice one week dmitazhw kxbifzoh,epivntxc fdrxmuga,GRP_0,English,English,English,109,62,16,10
6284,fjtrnslb ejzkrchq account expired,fjtrnslb ejzkrchq account expired,rbozivdq gmlhrtvp,GRP_0,English,English,English,33,33,4,4
6285,user chicago want update bank detail,user chicago want update bank detail,qftpazns fxpnytmk,GRP_0,English,English,English,36,36,6,6
6286,bios update,bios update,jvshydix rzpmnylt,GRP_0,English,English,English,11,11,2,2
6287,stuck line line inwarehouse toold line cannot pgi,stuck line line inwarehouse toold line cannot pgi inwarehouse toold idea get line inwarehouse toold,avkotjzx hmntobws,GRP_13,English,English,English,99,49,15,8
6288,device type change usa,device type change usa,kgytujhe bonhwzrx,GRP_14,English,English,English,22,22,4,4
6289,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
6290,ticket update inplant,ticket update inplant,fumkcsji sarmtlhy,GRP_0,English,English,English,21,21,3,3
6291,device running dell tape library,device running dell tape library backup device running error say open door,yevirgnl ylhogjct,GRP_12,English,English,English,74,32,12,5
6292,license inquiry license,license inquiry license,zkhmvnib sugzyvhp,GRP_0,English,English,English,23,23,3,3
6293,adobe reader suddenly work immediate crash adobe stopped working,adobe reader suddenly work immediate crash adobe stopped working,pzrskcon pobsajnx,GRP_3,English,English,English,64,64,9,9
6294,need access znqcljxt azvoespk email,need access znqcljxt azvoespk email,csotmdiw yfeqcbti,GRP_26,English,English,English,35,35,5,5
6295,outlook responding error need password,outlook responding error need password,imoelsap gxdwkimv,GRP_0,English,English,English,38,38,5,5
6296,connection problem microsoft collaboration platform company account,connection problem microsoft collaboration platform company account,obanjrhg rnafleys,GRP_0,English,English,English,67,67,7,7
6297,ticket update,name erirtc language browser microsoft internet explorer customer number telephone summary following ctc code application incident ticket please get folk access aerp,ntsowaem jfgslyde,GRP_0,English,English,English,165,13,22,2
6298,wireless guest access,cti network wireless guest guest first name jeffrghryey guest last name adrhtykins guest email contact location company sponsor email duration duration guest access today est,vbmzgsdk jdmyazti,GRP_0,English,English,English,174,21,25,3
6299,account locked,account locked,ydigzqbu xdgjizek,GRP_0,English,English,English,14,14,2,2
6300,intermittent shutdown computer,intermittent shutdown computer,xioapjvd yiqubxmz,GRP_0,English,English,English,30,30,3,3
6301,inwarehouse tool issued,inwarehouse tool issued,ipwjorsc uboapexr,GRP_13,English,English,English,23,23,3,3
6302,cannot make recieve call iphone,cannot make recieve call iphone,okubexia viungdpw,GRP_63,English,English,English,31,31,5,5
6303,user need account mentioned screenshot active account add new opportstorage product,got call transferred vitalyst user need account mentioned screenshot active account add new opportstorage product,fjciqgav ybkqvazh,GRP_40,English,English,English,113,83,15,11
6304,new laptop set,set new laptop remove old one,chkmejsn lvidgknc,GRP_3,English,English,English,29,14,6,3
6305,project collaboration platform site longer creating project new project added,project collaboration platform site longer creating project new project added example,erckhtzj tdmkgoie,GRP_16,English,English,English,85,77,11,10
6306,blank call noise,blank call noise,fumkcsji sarmtlhy,GRP_0,English,English,English,16,16,3,3
6308,cannot access email,incident past two day cannot access email collaboration platform fixed issue occurring,rqnxlkce nvrzduyk,GRP_0,English,English,English,86,19,12,3
6309,please display monthly information sale approve screen compensation programdnty,please display monthly information sale approve screen compensation programdnty since performance calculation changed monthly calculation screen become little confusing,aofextgk tugywidl,GRP_25,English,English,English,168,79,19,9
6310,engineering tool,aghynil dirttwan sent thursday august nwfodmhc exurcwkm subject sabrthy engineering tool respected sir madam please guidge install engineering tool tried web done download please reply aghynil dirttwan perfect sale service mohgrtyan arcade,aorthyme rnsuipbk,GRP_0,English,English,English,239,16,32,2
6311,created rqfhiong zkwfqagb yesterday afternoon exist erp ansi iso say already exists,try create ansi iso tbbuyhexstandoff erp say already exists,ivkhegjw gquflzse,GRP_14,English,English,English,59,83,9,12
6312,query owner shared mailbox mws distributor discount,query owner shared mailbox mws distributor discount,rmegscqu juksmtho,GRP_0,English,English,English,51,51,7,7
6313,password reset request,password reset request,hwbjnpmg nzrbmojg,GRP_0,English,English,English,22,22,3,3
6314,bitte ewew konto wieder aktivieren,bitte ewew konto wieder aktivieren,xmlbfjpg yegzbvru,GRP_24,English,English,English,34,34,5,5
6315,engineering tool password reset,engineering tool password reset,dxfbqwyg cyzfmrpq,GRP_0,English,English,English,31,31,4,4
6316,unable change password password management tool,unable change password password management tool,fniphjkr tlxygdeh,GRP_0,English,English,English,47,47,6,6
6317,unable log email erp collaboration platform,unable log email erp collaboration platform,afbcmwsu tjgciswl,GRP_0,English,English,English,43,43,6,6
6319,outlook access,outlook connect working home office,ymorvuwg pejkzvfl,GRP_27,English,English,English,35,14,5,2
6320,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_60,English,English,English,37,28,6,5
6321,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_60,English,English,English,37,28,6,5
6322,unable submit discount form collaboration platform,unable submit discount form collaboration platform,tqemuawj mvcqrbaz,GRP_0,English,English,English,50,50,6,6
6323,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_60,English,English,English,37,28,6,5
6324,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_9,English,English,English,37,28,6,5
6325,wrong calculation erp,rebate calculated correctly inwarehouse tool little rebate,vrmdtcal agythfow,GRP_13,English,English,English,58,21,7,3
6326,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_60,English,English,English,37,28,6,5
6327,job job failed job scheduler,received job job failed job scheduler,bpctwhsn kzqsbmtp,GRP_8,English,English,English,37,28,6,5
6328,please reset password tool globalview sid,please reset password tool globalview sid,qpkbiwzl urypnjvq,GRP_0,English,English,English,41,41,6,6
6329,need help reset password,need help reset password,gwptzvxm rhozsfty,GRP_0,English,English,English,24,24,4,4
6330,help reset password microsoft lync please,help reset password microsoft lync please,zvwrklfa pguesbno,GRP_0,English,English,English,41,41,6,6
6331,detail earnings batch job sending current payroll info,keep getting zearn report mail title job step get correct report,cjqdksbn ysqxpovz,GRP_52,English,English,English,64,54,11,8
6332,printer change,received hello help instructed ecwtrjnq jpecxuty please change permanently default printing job output erp printer printer also please repeat job sent printer friday august new printer best,repyzajo lxfwopyq,GRP_5,English,English,English,189,14,27,2
6333,urgent registration infopath,received dear please urgently advise proceed asked review price discount obviously managed tool cid image png fed faf best,kuznvase jrxtbuqz,GRP_0,English,English,English,122,28,19,3
6334,unable connect hub,unable connect hub,mfvkxghn mzjasxqd,GRP_0,English,English,English,18,18,3,3
6335,folder access globalace holemaking,please comment red viele best,dxgyefir rczsatqu,GRP_34,English,English,English,29,34,5,4
6336,blocked web page,received dear please unblock web page urgently need access technical research cid image png fec ceec mit freundlichen best,iygsxftl hysrbgad,GRP_0,English,English,English,122,16,19,3
6337,cisco access point working,cisco access point working mac address,yevirgnl ylhogjct,GRP_4,English,English,English,38,26,6,4
6338,profile setup new joiner,laptop profile setup new joiner nikitha upadhyaya lqnoifve wvhelqxu,nawkpdtx gwcvmbhn,GRP_19,English,English,English,67,24,9,4
6339,need erp access dscsag conv rule,system sid sid sid sid hrp sid sid enter user user issue gthydanp transaction code user need working dscsag conv rule describe issue need access code getting authorized message recreate condition nsu attach result ticketing tool ticket attached provide access user phillpd,svdefgwl sgtmurfh,GRP_2,English,English,English,272,32,42,6
6343,pls check user yubtgy account,received dear team pls help check user account account locked several time thx lot user yubtgy rgds judthtihty zhuyhts company hardpoint apac wgq,wktesmbp lorjymef,GRP_0,English,English,English,145,29,23,5
6344,probleme mit weekly report und engineering tool angebotserstellung,received hallo zusammen bitte hilfe mit weekly report und engineering tool angebotserstellung bin heute bi uhr telefonisch erreichbar vielen dank gru cid image png febc cid image jpg febc rkyjnbqh kfshormi eng anwendungstechnik application engineer company deutschland gmbh gesch ftsf hrer rfwlsoej yvtjzkaw phvkowml azbtkqwx naruedlk mpvhakdq,rkyjnbqh kfshormi,GRP_0,English,English,English,343,66,47,8
6345,access request partner team,received pradtheyp partner team support jintana run report going forward provide access usaed debaghjsish based email access path required access usaed site certified content view eoreport finance timegraphfilters iid let know done appreciate provide access preferably sep next friday,izwtdnfq xptuoaid,GRP_2,English,English,English,284,27,39,4
6346,qlhmawgi sgwipoxn locked,qlhmawgi sgwipoxn locked,dmvznstx jnpgzoxy,GRP_0,English,English,English,24,24,3,3
6348,access igurwxhv ughynofq mailbox,helpdesk please give access igurwxhv ughynofq partner outsouring company,wzbahpxu phvyuwxb,GRP_0,English,English,English,72,32,9,4
6349,plm cache server logging issue,per attached email see issue cache server logging also caching server working well please also look erp reply raised question cache server accessibility,ujsyzrvw vjuyzcih,GRP_14,English,English,English,152,30,23,5
6350,conduct good movement erp transaction plant plant,iwazgesl ydgqtpbo sent thursday august nwfodmhc exurcwkm nkiopevt gufwhdky subject tru good movement plant plant hello could please advise conduct good movement erp transaction plant plant able,iwazgesl ydgqtpbo,GRP_18,English,English,English,193,49,27,7
6351,password reset alert,password reset alert,epbqhudt fumxovjz,GRP_0,English,English,English,20,20,3,3
6352,user cwfzldts dlmukhyn cannot create purchasing requistions punch catalogue,get right document type several problem wrong material group shown mendmre istead default select accounting costcenter default order account come automatically got information requisitioners plant problem get mail colleague person solved issue add soon mail,cwfzldts dlmukhyn,GRP_29,English,English,English,257,75,35,9
6353,latitude properly boot get blue empty screen log mask,latitude properly boot get blue empty screen log mask,fesmalcu qjlwvrnk,GRP_28,English,English,English,53,53,9,9
6354,latitude boot properly got blue empty screen eagl,latitude boot properly got blue empty screen eagl,ptyxefvk fhazbrwn,GRP_28,English,English,English,49,49,8,8
6357,setup new instandsetzung nfayqjhg kyswcpei,setup new instandsetzung nfayqjhg kyswcpei,nfayqjhg kyswcpei,GRP_24,English,English,English,42,42,5,5
6358,office outlook issue,office outlook issue,iowkrcpd snrvlhyc,GRP_0,English,English,English,20,20,3,3
6359,cannot use copy option engineering tool getting error message,cannot use copy option engineering tool getting error message never worked user anticipating access issue,fbgetczn jlsvxura,GRP_11,English,English,English,105,61,15,9
6361,circuit outage traversecity static vpn rtr since est site primary,type outage network circuit power please specify type outage top cert site yes yes start est scheduled maintenance power yes company power provider power scheduled maintenance network yes company maint yes provider maint ticket site backup circuit yes yes backup circuit active yes yes site contact notified phone email yes yes remote dial yes equipment reset yes verified site working backup circuit yes yes vendor ticket global telecom verizon telecom vendor telecom vendor notified gsc yes yes cert started yes additional diagnostics,uxgrdjfc kqxdjeov,GRP_8,English,English,English,536,65,82,10
6362,change computer user parrfgyksm telephony software set change,please set new computer changed user parrfgyksm,antigvjx zekluqim,GRP_7,English,English,English,47,61,7,8
6363,password reset alert,password reset alert,eylqgodm ybqkwiam,GRP_0,English,English,English,20,20,3,3
6366,email query,email query,zfliqpxm dgfvaqlh,GRP_0,English,English,English,11,11,2,2
6367,erp sid lock issue password reset,erp sid lock issue password reset user bhergtyemm,antigvjx zekluqim,GRP_0,English,English,English,49,33,8,6
6368,please take survey related ticket,received sehr geehrter souzarft noch immer kein zugriff freundliche best,tgpvrbyi ztdxwpcn,GRP_0,English,English,English,72,33,10,5
6369,copy save pdf drawing business client,application used work till aug user able copy save pdf business client since aug user able anymore,edanpfzl qyrfndkp,GRP_0,English,English,English,98,37,17,6
6372,unable open outlook client,unable open outlook client,jxpmkhay ruvnpyqb,GRP_19,English,English,English,26,26,4,4
6373,please take survey related ticket,received nein funktioniert noch nicht efjzbtcm mdpviqbf company production gmbh versand logistik wear email company produktions gmbh gesch ftsf hrer phvkowml azbtkqwx naruedlk mpvhakdq von global ticketing tool gesendet mittwoch august efjzbtcm mdpviqbf betreff please take survey related ticket please reply forward email use ticketing tool open new ticket value input please help taking time fill short survey click take survey number ticket resolved olckhmvx pcqobjnd short description beim ffnen oder speichern kommt immer wieder eine meldung click view link comment edt olckhmvx pcqobjndadditional comment hallo frau maier bitte probieren sie jetzt und geben sie bescheid sie zugriff haben oder nicht mfg dan gso,efjzbtcm mdpviqbf,GRP_0,English,English,English,717,33,104,5
6374,collaboration platform business sync,received collaboration platform business dose take credential sync best,eylqgodm ybqkwiam,GRP_0,English,English,English,71,36,9,4
6375,one user cannot receive mail bank amrice cashpro online,received cannot receive mail bank amrice cashpro online wanrtyg partner member partner staff receive mail bank please resolve,uagqromi sqgtkmci,GRP_10,English,English,English,125,55,18,9
6376,profile email client setup,ghkkytu configure user login mail detail,antigvjx zekluqim,GRP_19,English,English,English,40,26,6,4
6377,reinstall,reinstall,kflqpite gbeoqsnc,GRP_19,English,English,English,9,9,1,1
6378,installation,reimage laptop,kflqpite gbeoqsnc,GRP_19,English,English,English,14,12,2,1
6379,installation,reinstallation laptop,kflqpite gbeoqsnc,GRP_19,English,English,English,21,12,2,1
6380,abend batch job job,job name job abended,rkupnshb gsmzfojw,GRP_6,English,English,English,20,19,4,4
6381,inwarehouse tool creating,received team delivery creating inwarehouse tool cannot see reason creating please resolve issue,uisewznr ewtmkphs,GRP_13,English,English,English,96,25,13,3
6382,help change window password using password management tool password tool,help change window password using password management tool password tool connected user system using teamviewer help user login password manager tool password tool change password help user sync psswords company network caller confirmed able login issue resolved,cvnzhbfa qcvzyrgo,GRP_0,English,English,English,262,72,37,10
6383,vip login issue,login issue checked user name unlocked account advised user login check caller confirmed able login issue resolved,voalfshq eihcmgnl,GRP_0,English,English,English,114,15,17,3
6384,global telecom two one connected signal limited,name lertfty zuothryrt language browser microsoft internet explorer customer number telephone summary global telecom two one connected signal limited,kilrghwc ykjrbivs,GRP_0,English,English,English,149,47,19,7
6385,folder access hostname team kvp projekte,permission write read location germany,xsjqhdgp ymstzudl,GRP_34,English,English,English,38,40,5,6
6386,mii password reset wiggrtgyis,mii password reset wiggrtgyis,sbgfycot quhzgatm,GRP_0,English,English,English,29,29,4,4
6387,hostname erp search server server erpstartsrv exe service,hostname erp search server server erpstartsrv exe service,rkupnshb gsmzfojw,GRP_14,English,English,English,57,57,8,8
6388,vtykrubi whsipqno title,received good afternoon noticed rtgyon title incorrect skype correct chairman company president ceo cid image png eaf,hkrecpfv kgwpbexv,GRP_0,English,English,English,117,23,17,3
6389,trailing mail,trailing mail,ygkzwsud cvjgkxws,GRP_0,English,English,English,13,13,2,2
6390,using collaboration platform crm collaboration platform notebook shared people know dind share noteb,collaboration platform notebook shared people know share notebook cannot remove shared status possible,kzbrimwx dconpwbu,GRP_0,English,English,English,102,100,13,13
6391,error erp,error erp,khufscza qoixpave,GRP_0,English,English,English,9,9,2,2
6392,es password reset,es password reset,qkvzexta ehlvgouc,GRP_0,English,English,English,17,17,3,3
6393,need see unread email,need see unread email,pfzxecbo ptygkvzl,GRP_0,English,English,English,21,21,4,4
6394,access bobj,access bobj,dymwulbi dkbvqhna,GRP_9,English,English,English,11,11,2,2
6395,multiple page print printing single email,multiple page print printing single email checked driver setting updated printer driver abl eto print single word excel pdf document user try print email outlook show multiple page see attachment,jrxsdcna iyhktobe,GRP_3,English,English,English,195,41,30,6
6396,delay email sending,received dear please explain delay email sending possible earlier outlook version cid image jpg current version outlook delayed sending work computer outlook shut email sent restart outlook cid image jpg chance fix,iygsxftl hysrbgad,GRP_0,English,English,English,214,19,32,3
6397,add role access recruit,please also add rcf recruiter role imzctxhr odmawbij jusfrttin gtehdnyuerrf also,qcehailo wqynckxg,GRP_2,English,English,English,80,23,11,4
6398,skype login issue,received hello unable sign skype several day cid image png best debgrtybie savgrtyuille corporate paralegal,crkdjbot qiztrxne,GRP_0,English,English,English,107,17,15,3
6399,hostname volume dev software server hostname space consumed remaining,hostname volume dev software server hostname space consumed remaining,rkupnshb gsmzfojw,GRP_47,English,English,English,69,69,9,9
6400,hostname oracle finance app financial management web tier java server epmsystem service monitor,hostname oracle finance app financial management web tier epmsystem service monitor hostname oracle finance app financial management java server epmsystem service monitor,rkupnshb gsmzfojw,GRP_12,English,English,English,170,95,22,13
6401,link mail say forbidden,mail training email hint tip create signature link company formatheywting standard forbidden see,mfvkxghn mzjasxqd,GRP_70,English,English,English,96,23,13,4
6402,undeliverable mail returned ethic mail request,undeliverable mail returned ethic mail request hello undeliverable mail returned ethic mail request please advise,crkdjbot qiztrxne,GRP_0,English,English,English,113,46,15,6
6403,erp round total,entered total order erp rounding creating cent difference order one causing quite bit invoicing payment rejection,iqbyrtop izpmvgfq,GRP_13,English,English,English,113,15,16,3
6404,scrap reason code two issue,two issue mii asks reason code scrap quantity entered zero operator put zero sure entering scrap intended behavior scrap field blank zero system ask scrap reason code enter invalid reason code save button disabled warning message operator fix invalid data close confirmation window type information enter fix,entuakhp xrnhtdmk,GRP_41,English,English,English,308,27,47,5
6406,user called know outage usa,user called know outage usa,fumkcsji sarmtlhy,GRP_0,English,English,English,27,27,5,5
6407,job jobuacyltoe hxgaycze failed job scheduler,received job jobuacyltoe hxgaycze failed job scheduler,bpctwhsn kzqsbmtp,GRP_60,English,English,English,54,45,7,6
6408,job jobuacyltoe hxgaycze failed job scheduler,received job jobuacyltoe hxgaycze failed job scheduler,bpctwhsn kzqsbmtp,GRP_60,English,English,English,54,45,7,6
6409,job hostname failagain failed job scheduler,received job hostname failagain failed job scheduler,bpctwhsn kzqsbmtp,GRP_60,English,English,English,52,43,7,6
6410,svc ticket found nothing,received svc ticket found nothing,bpctwhsn kzqsbmtp,GRP_60,English,English,English,33,24,5,4
6411,svc ticket found nothing,received svc ticket found nothing,bpctwhsn kzqsbmtp,GRP_60,English,English,English,33,24,5,4
6412,svc ticket found nothing,received svc ticket found nothing,bpctwhsn kzqsbmtp,GRP_60,English,English,English,33,24,5,4
6413,unlocked account password manager,unlocked account password manager,ghfvmpqi fehkscza,GRP_0,English,English,English,33,33,4,4
6414,unable open original engineering tool,opening original engineering tool error occurs process fetch original erp system jco error,tfyhebmk elywjuvm,GRP_11,English,English,English,90,37,13,5
6415,cannot get access email,issue yesterday called fixed issue back work today still cannot get email,rqnxlkce nvrzduyk,GRP_0,English,English,English,73,23,12,4
